Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
2027,56,22,2011,8,42,0.61,0.32,0.01,0.08
2030,518,22,2007,8,135,0.87,0.05,0.02,0.08
2046,448,1,2011,4,111,0.44,0.46,0.01,0.09
2078,555,20,2010,3,125,0.89,0.04,0,0.06
2109,572,20,2010,7,92,0.49,0.26,0.16,0.08
2114,330,8,1998,6,42,0.94,0.04,0,0.01
2128,485,3,2006,9,89,0.09,0.02,0.86,0.01
2141,333,22,2015,10,129,0.77,0.1,0,0.1
2145,121,0,1981,4,16,0.9,0.05,0,0.01
2171,371,1,2011,9,92,0.4,0.36,0.13,0.07
2219,280,12,2006,10,114,0.78,0.03,0,0.13
2253,143,13,2010,10,42,0.52,0.28,0,0.12
2269,449,6,2006,6,111,0.71,0.18,0,0.03
2319,156,20,2008,10,42,0.29,0.52,0,0.09
2370,309,15,2004,11,72,0.32,0.26,0.12,0.17
2394,520,12,2006,10,7,0.72,0.03,0,0.12
2409,484,13,2012,7,89,0.2,0.15,0.45,0.07
2426,2,22,2010,10,42,0.32,0.43,0.02,0.09
2488,45,16,2014,8,129,0.43,0.21,0.01,0.19
2533,133,4,2000,7,44,0,0,0.81,0
2534,114,3,2006,0,39,0.73,0.03,0,0.06
2547,383,22,2009,10,72,0.12,0.58,0.03,0.08
2618,94,22,2013,0,36,0.44,0.27,0.01,0.07
2638,392,3,2009,5,135,0.41,0.3,0,0.07
2648,536,22,2011,10,125,0.53,0.19,0,0.06
2655,245,6,2002,8,42,0.6,0.16,0,0.02
2667,350,15,2008,6,42,0.23,0.32,0.03,0.19
2696,468,11,1995,2,138,0.17,0.11,0.43,0.05
2773,296,1,2015,7,92,0.16,0.3,0.25,0.04
2868,141,13,2007,0,130,0.18,0.08,0.41,0.04
2893,547,15,2010,2,125,0.22,0.31,0,0.17
2902,455,15,2005,0,7,0.35,0.21,0,0.14
2919,240,23,2005,7,84,0.48,0.19,0,0.03
2928,18,15,2005,4,114,0.52,0.01,0.12,0.05
2955,442,13,2014,0,7,0.24,0.33,0,0.12
2988,224,15,2007,10,114,0.21,0.11,0.28,0.08
3000,399,20,2006,8,135,0.55,0.04,0.04,0.05
3027,481,20,2008,3,89,0,0,0.67,0
3038,480,20,2008,5,135,0.18,0.41,0,0.08
3047,370,3,2007,1,26,0.33,0.05,0.25,0.04
3049,46,13,2014,8,129,0.25,0.26,0.05,0.11
3108,321,12,2002,6,135,0.32,0.25,0,0.08
3112,137,3,2009,5,125,0.45,0.14,0,0.06
3124,302,11,2000,1,5,0.36,0.24,0,0.04
3133,425,13,2010,0,26,0.17,0.04,0.4,0.03
3144,305,23,2003,8,129,0.47,0.15,0,0.02
3204,213,3,2009,0,42,0.21,0.35,0,0.07
3218,528,22,2009,8,7,0.34,0.23,0,0.06
3237,346,6,2002,3,89,0.48,0.13,0,0.02
3310,207,23,2005,8,42,0.37,0.21,0,0.03
3356,397,12,2001,6,135,0.29,0.23,0,0.08
3399,340,11,2000,10,86,0.33,0.22,0,0.04
3437,258,18,1994,10,92,0,0,0.59,0
3455,508,10,2009,9,42,0.02,0.18,0,0.39
3462,419,11,2000,10,0,0.32,0.22,0,0.04
3484,334,22,2006,10,129,0.53,0,0,0.04
3550,49,3,2007,1,125,0.29,0.22,0,0.06
3551,393,23,2002,6,84,0.39,0.16,0,0.02
3608,286,20,2008,0,7,0.32,0.18,0,0.05
3686,521,11,1996,3,83,0.3,0.21,0,0.04
3715,417,12,2004,6,89,0.26,0.21,0,0.07
3776,186,11,1999,4,41,0.3,0.2,0,0.03
3778,42,23,2004,10,86,0.4,0.11,0,0.02
3813,32,16,2013,0,140,0.2,0.2,0,0.13
3822,362,11,2000,3,14,0,0,0.49,0.03
3892,451,15,2009,2,89,0.12,0.2,0.07,0.12
3896,192,22,2011,8,7,0.25,0.21,0,0.05
3911,292,22,2010,10,129,0.47,0,0,0.04
3917,86,11,1996,11,20,0,0,0.48,0.03
3928,213,15,2009,0,42,0.18,0.21,0,0.12
3944,199,24,2015,3,7,0.29,0.17,0,0.05
3949,489,5,2004,0,125,0.36,0.13,0,0.01
3952,449,12,2006,6,111,0.42,0.02,0,0.07
3955,316,0,1983,0,16,0.47,0.03,0,0.01
4048,131,22,2008,2,16,0.24,0.18,0.03,0.05
4052,239,17,1997,10,111,0,0,0.49,0
4105,144,11,1999,2,5,0.27,0.18,0,0.03
4114,424,12,2003,9,76,0.24,0.18,0,0.06
4118,338,12,2008,10,42,0.4,0.02,0,0.07
4139,160,22,2006,10,42,0.19,0.27,0.01,0
4151,337,8,1998,10,42,0.45,0.02,0,0
4178,226,12,2002,6,125,0.23,0.18,0,0.06
4197,409,22,2011,0,111,0.28,0.13,0.01,0.04
4210,66,12,2009,6,125,0.27,0.03,0,0.17
4235,81,20,2011,3,54,0.44,0,0,0.03
4253,439,12,2007,3,114,0.23,0.18,0,0.06
4299,233,13,2010,7,130,0.22,0.11,0.07,0.05
4349,457,13,2010,0,7,0.26,0.13,0,0.06
4402,298,21,2015,10,92,0.13,0.16,0.13,0.03
4405,423,12,2004,0,125,0.22,0.17,0,0.06
4493,403,20,2009,10,80,0.41,0,0,0.03
4513,336,20,2010,10,42,0.38,0.03,0,0.03
4578,3,12,2006,8,41,0.35,0.01,0,0.06
4603,145,23,2004,10,55,0.32,0.09,0,0.02
4619,487,23,2002,6,16,0.35,0.05,0,0.02
4704,563,22,2014,8,22,0.18,0.19,0,0.04
4747,354,20,2010,0,109,0.21,0.12,0.04,0.03
4885,250,12,2007,6,125,0.19,0.15,0.01,0.05
4912,276,15,2006,4,114,0.14,0.05,0.16,0.04
4971,420,1,2011,0,130,0.12,0.05,0.2,0.01
4974,90,20,2009,3,96,0,0.36,0,0.02
4976,242,3,2007,3,135,0.38,0,0,0
4998,189,16,2015,7,89,0,0.01,0.37,0
5003,534,6,2002,8,5,0.3,0.08,0,0.01
5032,319,11,1996,0,89,0,0,0.36,0.02
5080,497,15,2006,0,111,0.11,0.16,0,0.1
5111,401,12,2003,10,90,0.18,0.14,0,0.05
5116,287,15,2010,10,42,0.35,0,0,0.03
5122,575,11,1998,1,114,0,0,0.35,0.02
5139,552,22,2009,8,140,0.17,0.15,0,0.04
5204,341,12,2000,10,114,0.18,0.14,0,0.05
5212,568,11,2001,6,7,0.2,0.14,0,0.02
5270,92,24,2016,7,89,0.23,0.09,0,0.03
5279,426,1,2013,0,89,0,0,0.35,0
5311,407,12,2003,0,26,0.17,0.13,0,0.04
5358,140,12,2006,0,130,0.11,0.09,0.12,0.03
5490,445,21,2014,0,111,0.21,0.09,0,0.03
5535,367,11,1994,8,72,0,0,0.31,0.02
5550,148,22,2007,7,16,0.19,0.04,0.08,0.02
5579,238,13,2014,2,89,0.04,0.06,0.2,0.02
5608,30,10,2009,0,41,0,0.27,0,0.05
5676,289,5,2001,10,42,0.23,0.08,0,0.01
5721,500,20,2008,0,111,0.28,0.01,0,0.02
5744,21,12,2003,9,10,0.07,0.06,0.16,0.02
5751,473,11,1999,11,20,0,0,0.29,0.02
5756,191,8,1998,4,72,0.06,0.02,0.13,0.1
5803,39,12,2002,0,7,0.15,0.12,0,0.04
5850,380,22,2011,2,135,0.18,0.1,0,0.03
5852,390,3,2009,5,111,0,0,0.3,0
5869,135,13,2013,7,115,0.1,0,0.19,0.02
5910,558,18,1995,10,130,0,0,0.3,0
5923,476,16,2014,7,89,0,0,0.3,0
5931,132,16,2016,7,115,0,0,0.3,0
5969,494,22,2009,8,16,0.16,0.1,0,0.03
5974,198,17,1995,7,111,0,0,0.29,0
5980,169,11,1999,10,72,0.16,0.11,0,0.02
6054,525,22,2011,0,7,0.13,0.13,0,0.03
6058,391,20,2007,5,35,0.26,0,0,0.02
6121,513,11,2000,4,135,0.16,0.11,0,0.02
6149,530,8,1999,10,42,0.27,0.01,0,0
6198,335,11,1995,10,72,0.16,0.11,0,0.02
6250,379,5,2001,10,72,0,0,0.27,0.01
6257,120,4,2000,4,92,0,0,0.28,0
6308,38,18,1993,2,89,0,0,0.27,0
6322,490,13,2011,0,135,0.06,0.16,0,0.05
6328,112,6,2005,4,39,0.21,0.05,0,0.01
6362,412,22,2008,3,72,0.25,0,0,0.02
6364,269,24,2014,0,140,0.13,0.12,0,0.02
6378,474,11,1999,6,42,0.15,0.1,0,0.02
6439,450,5,2004,3,137,0.19,0.07,0,0
6444,402,20,2010,8,80,0.25,0,0,0.02
6457,364,23,2002,8,111,0.16,0.05,0.04,0.01
6480,553,20,2009,9,89,0.24,0,0,0.02
6493,168,5,2006,7,92,0,0,0.26,0.01
6553,378,3,2004,5,92,0.13,0.01,0.11,0.01
6633,179,17,1994,8,5,0,0,0.25,0
6637,551,12,2003,3,39,0.12,0.1,0,0.03
6673,456,22,2011,0,7,0.18,0.05,0,0.02
6704,567,12,2003,10,111,0.12,0.1,0,0.03
6706,386,17,1998,10,111,0,0,0.25,0
6772,125,12,2005,1,55,0.12,0.09,0,0.03
6920,410,13,2012,7,36,0.04,0.14,0.01,0.05
6941,394,0,1988,0,7,0.22,0.01,0,0
6959,550,12,2003,4,19,0.11,0.09,0,0.03
6983,83,13,2008,7,94,0.14,0.02,0.05,0.02
6991,544,22,2010,10,111,0.08,0.13,0,0.03
6997,216,16,2012,3,111,0,0,0.23,0
7005,277,20,2007,0,140,0.21,0.01,0,0.02
7008,372,15,2005,3,102,0.2,0.01,0,0.02
7012,374,20,2008,1,7,0.2,0.02,0,0.02
7046,329,13,2007,6,42,0.15,0.05,0,0.03
7064,164,20,2008,0,135,0.2,0.01,0,0.02
7105,223,20,2007,10,1,0.21,0,0,0.02
7119,74,13,2011,8,135,0.09,0.1,0,0.04
7140,477,12,2008,2,86,0.1,0,0,0.12
7192,180,12,2004,2,89,0.03,0.02,0.17,0.01
7201,270,10,2012,0,140,0.07,0.13,0,0.03
7215,264,10,2006,0,140,0.05,0.14,0,0.03
7216,139,5,2004,3,16,0.16,0.06,0,0
7245,430,23,2004,8,41,0.16,0.05,0,0.01
7347,557,12,2000,6,65,0.1,0.08,0,0.03
7354,283,23,2003,2,56,0.16,0.05,0,0.01
7355,184,13,2010,0,89,0,0,0.21,0
7425,546,13,2006,6,24,0,0.15,0.01,0.05
7444,344,6,2001,10,86,0.16,0.04,0,0.01
7462,97,22,2010,8,89,0.11,0.08,0,0.02
7474,503,20,2008,3,125,0.19,0,0,0.01
7502,301,5,2002,3,5,0.15,0.05,0,0
7512,62,12,2004,2,26,0.1,0.08,0,0.03
7553,50,6,2005,3,125,0.16,0.04,0,0.01
7574,63,13,2011,0,111,0.1,0.07,0,0.03
7589,96,12,2005,8,42,0.1,0.08,0,0.03
7627,331,15,2006,10,114,0.18,0,0,0.02
7630,291,3,2011,9,7,0.14,0.04,0,0.02
7654,91,13,2010,9,72,0.12,0.05,0,0.02
7657,347,11,1996,3,114,0.02,0.01,0.16,0.01
7725,36,20,2009,0,72,0.15,0,0.03,0.01
7785,327,3,2010,5,48,0.01,0.16,0,0.02
7792,248,8,1996,10,72,0,0,0.19,0
7896,429,20,2010,10,135,0.14,0.03,0,0.01
7931,511,18,1993,9,60,0,0,0.19,0
7959,53,11,1996,4,6,0.1,0.07,0,0.01
7967,323,20,2009,6,26,0.05,0.11,0,0.02
8103,233,16,2013,7,32,0.09,0,0.07,0.02
8131,13,3,2011,0,111,0.1,0.06,0,0.02
8138,219,13,2011,8,137,0.17,0,0,0.01
8140,123,10,2016,8,22,0.06,0.1,0,0.01
8178,138,20,2011,6,135,0.06,0.09,0,0.02
8207,68,20,2008,2,72,0.13,0.02,0.01,0.01
8253,514,11,1996,0,9,0.1,0.07,0,0.01
8262,499,6,2003,4,139,0.13,0.03,0,0
8284,452,11,1999,1,28,0,0,0.16,0.01
8318,342,15,2006,10,42,0.13,0.02,0,0.02
8330,524,22,2014,0,7,0.09,0.07,0,0.02
8362,182,12,2001,10,130,0.05,0.04,0.06,0.01
8365,176,22,2007,3,84,0.14,0.01,0,0.01
8403,306,6,2003,4,26,0.13,0.03,0,0
8443,461,3,2005,0,139,0.14,0.01,0,0.01
8460,98,0,1982,0,18,0.15,0.01,0,0
8476,72,13,2009,0,7,0.15,0,0,0.01
8484,201,20,2010,8,91,0.08,0.06,0,0.02
8506,491,20,2012,0,7,0.11,0.04,0,0.01
8524,328,11,1998,6,58,0.09,0.06,0,0.01
8529,384,22,2014,10,72,0.05,0.1,0,0.01
8589,453,8,1999,8,7,0.13,0.03,0,0
8591,101,8,1999,6,125,0.13,0.03,0,0
8623,15,22,2005,10,129,0.13,0.02,0,0.01
8640,260,5,2001,6,72,0.09,0.03,0.04,0
8642,43,13,2008,10,86,0.11,0.03,0,0.02
8650,531,20,2011,3,42,0.1,0.04,0,0.01
8663,422,22,2010,0,72,0.1,0.04,0,0.01
8707,540,3,2005,0,7,0.14,0,0,0.01
8743,41,23,2004,4,84,0.12,0.03,0,0.01
8800,496,5,2005,1,125,0.11,0.04,0,0
8827,253,3,2011,3,137,0.14,0,0,0.01
8869,57,20,2009,0,37,0.14,0,0,0.01
8880,227,20,2007,6,7,0.13,0,0,0.01
8891,423,23,2004,0,125,0.11,0.03,0,0.01
8898,467,5,2004,3,137,0.11,0.04,0,0
8943,181,11,1999,1,33,0.08,0.06,0,0.01
9011,279,16,2014,7,94,0.07,0.03,0.02,0.03
9037,130,10,2010,7,42,0,0.12,0,0.02
9041,23,3,2006,6,135,0.09,0.04,0,0.01
9090,303,11,2001,0,5,0.08,0.05,0,0.01
9103,361,15,2009,10,128,0.09,0,0.04,0.01
9132,51,11,1997,6,125,0.08,0.05,0,0.01
9145,229,22,2010,0,7,0.11,0.02,0,0.01
9176,202,5,2002,0,26,0,0,0.14,0
9186,320,1,2015,0,26,0,0,0.14,0
9203,252,22,2011,3,72,0.13,0,0,0.01
9204,28,11,2001,4,137,0.08,0.05,0,0.01
9221,212,15,2007,3,98,0.12,0,0,0.01
9230,581,3,2005,0,72,0,0.04,0.1,0
9242,584,15,2010,7,94,0.07,0,0.06,0.01
9310,300,11,2001,0,5,0.08,0.05,0,0.01
9371,526,24,2015,0,7,0.09,0.03,0,0.01
9372,149,10,2012,0,110,0,0.12,0,0.02
9378,26,11,1997,7,72,0.07,0.05,0,0.01
9428,172,6,2002,4,72,0.1,0.03,0,0
9434,509,11,1998,11,41,0.07,0.05,0,0.01
9450,230,13,2014,1,75,0.03,0.08,0,0.02
9508,195,22,2011,0,140,0.07,0.05,0,0.01
9544,5,3,2007,5,52,0.1,0.01,0,0.01
9604,436,20,2009,9,42,0.1,0.01,0,0.01
9726,16,16,2013,11,7,0.05,0.04,0,0.03
9742,146,20,2009,1,79,0.11,0.01,0,0.01
9774,582,12,2005,1,129,0.06,0.05,0,0.02
9782,432,1,2015,7,17,0,0.03,0.09,0
9820,413,8,1999,4,135,0.1,0.02,0,0
9830,369,22,2006,7,111,0.09,0.02,0,0.01
9857,537,5,2003,3,131,0.09,0.03,0,0
9880,4,14,2016,0,132,0.03,0.07,0,0.02
9882,151,13,2011,3,114,0.11,0,0,0.01
9890,281,23,2003,10,84,0.09,0.03,0,0
9892,510,22,2014,1,132,0.04,0.07,0,0.01
9905,6,15,2011,9,89,0,0,0.12,0
9957,539,3,2007,5,131,0.11,0,0,0.01
9958,516,16,2014,7,11,0.06,0.01,0.02,0.02
9963,125,6,2005,1,55,0.09,0.02,0,0
9966,512,11,1998,7,17,0.06,0.04,0,0.01
9986,127,3,2009,10,89,0,0,0.12,0
9993,215,20,2011,3,42,0.11,0,0,0.01
10005,458,23,2002,6,16,0.09,0.02,0,0
10006,355,17,1995,11,130,0,0,0.11,0
10081,109,3,2006,7,89,0.1,0,0,0.01
10088,441,1,2015,0,7,0.05,0.06,0,0.01
10164,373,15,2008,3,122,0.09,0.01,0,0.01
10184,8,3,2010,6,118,0.1,0,0,0.01
10201,318,12,2002,8,126,0.05,0.04,0,0.01
10237,173,15,2011,7,72,0,0,0.11,0
10240,177,1,2011,1,51,0.08,0.02,0,0.01
10256,345,23,2003,10,84,0.08,0.02,0,0
10258,535,11,1999,6,121,0.06,0.04,0,0.01
10339,406,15,2005,0,72,0.1,0,0,0.01
10342,142,5,2005,0,92,0.08,0.03,0,0
10354,232,11,1995,10,62,0,0,0.1,0.01
10368,412,3,2008,3,72,0.1,0,0,0.01
10395,522,16,2016,0,130,0,0,0.11,0
10397,262,15,2012,10,89,0,0,0.11,0
10416,437,5,2003,9,143,0.08,0.03,0,0
10421,462,3,2011,4,7,0.1,0,0,0.01
10422,562,18,1995,7,3,0,0,0.1,0
10486,237,20,2008,1,25,0.09,0,0,0.01
10504,116,15,2004,3,114,0,0,0.1,0
10507,52,15,2007,9,72,0.09,0,0,0.01
10538,170,3,2008,10,101,0,0.1,0,0
10541,576,15,2008,7,117,0.05,0,0.04,0.01
10557,153,12,2002,2,41,0.04,0.03,0.02,0.01
10574,124,10,2004,8,7,0.05,0.04,0,0.01
10601,40,13,2012,0,72,0.04,0.03,0.01,0.01
10609,543,5,2004,0,7,0.07,0.03,0,0
10616,284,15,2010,9,35,0,0,0.1,0
10670,254,3,2007,3,21,0,0,0.1,0
10686,583,18,1995,6,81,0,0,0.1,0
10699,165,16,2014,1,133,0,0,0.1,0
10708,275,22,2010,10,7,0.09,0,0,0.01
10713,387,12,2002,10,42,0,0,0.1,0
10720,587,20,2010,1,7,0.08,0.01,0,0.01
10813,262,1,2014,10,89,0,0,0.1,0
10834,554,23,2002,3,84,0.07,0.02,0,0
10856,159,3,2008,10,42,0.07,0.02,0,0.01
10887,388,12,2005,4,79,0.05,0.04,0,0.01
10893,495,14,2015,0,135,0,0.08,0,0.01
10977,167,3,2009,7,15,0.09,0,0,0.01
11000,70,3,2010,5,97,0.05,0.04,0,0.01
11008,475,16,2012,2,1,0.02,0.05,0,0.02
11085,282,20,2008,10,129,0.08,0,0,0.01
11154,493,3,2010,3,140,0.08,0,0,0.01
11156,108,6,2005,7,89,0.07,0.02,0,0
11181,398,10,2011,8,125,0.05,0.02,0,0.01
11205,10,22,2014,0,75,0,0.08,0,0.01
11206,414,23,2005,7,129,0.06,0.02,0,0
11245,54,20,2009,6,144,0.08,0,0,0.01
11250,312,12,2001,11,90,0.04,0.03,0,0.01
11274,118,3,2009,10,129,0.06,0.01,0,0.01
11276,17,3,2009,9,7,0.08,0,0,0.01
11280,428,3,2011,3,140,0.08,0,0,0.01
11335,314,3,2008,9,135,0.08,0,0,0.01
11358,266,12,2002,10,42,0.04,0.03,0,0.01
11386,381,1,2013,3,128,0,0,0.08,0
11416,249,20,2008,10,72,0,0,0.08,0
11431,157,6,2002,10,42,0.06,0.02,0,0
11465,37,6,2003,6,43,0.06,0.02,0,0
11498,193,12,2000,8,72,0.04,0.03,0,0.01
11500,7,13,2013,1,89,0,0,0.08,0
11536,20,15,2009,9,49,0,0,0.08,0
11579,395,12,2010,10,7,0.04,0.03,0,0.01
11624,538,6,2002,2,135,0.06,0.02,0,0
11637,12,20,2009,0,103,0.07,0,0,0.01
11649,541,12,2005,0,89,0.04,0.03,0,0.01
11702,560,13,2009,6,114,0,0.06,0,0.02
11712,372,23,2004,3,33,0.06,0.02,0,0
11803,438,10,2003,9,42,0,0.06,0,0.01
11866,483,23,2005,4,125,0.05,0.02,0,0
11896,411,3,2008,11,130,0.07,0,0,0
11911,246,23,2002,0,139,0.05,0.02,0,0
11926,251,12,2008,0,41,0.03,0.03,0,0.01
11934,542,3,2009,1,35,0,0,0.07,0
11947,278,23,2002,0,16,0.05,0.02,0,0
11989,313,8,2000,10,125,0.06,0.01,0,0
12122,357,12,2004,1,82,0.03,0.03,0,0.01
12152,244,3,2010,8,7,0.05,0.01,0,0
12166,175,1,2015,0,50,0,0,0.07,0
12251,76,20,2008,6,144,0.06,0,0,0
12289,55,16,2014,0,35,0,0,0.06,0
12385,44,10,2010,6,7,0.01,0.04,0,0.01
12406,285,12,2001,3,41,0.03,0.02,0,0.01
12446,566,3,2009,10,85,0.06,0,0,0
12508,358,8,1998,10,53,0.05,0.01,0,0
12531,235,3,2009,3,29,0.06,0,0,0
12537,255,11,1999,6,33,0.03,0.02,0,0
12564,111,20,2014,0,39,0,0.05,0,0
12602,459,23,2005,10,129,0.04,0.01,0,0
12606,570,23,2003,11,111,0.04,0.01,0,0
12611,376,15,2005,7,64,0.05,0,0,0
12627,465,15,2012,0,2,0,0,0.06,0
12661,203,15,2007,2,57,0,0,0.06,0
12685,470,1,2016,3,93,0,0,0.06,0
12762,128,18,1995,4,45,0,0,0.06,0
12764,154,10,2010,6,31,0,0.05,0,0.01
12771,115,3,2009,10,1,0.05,0,0,0
12774,307,3,2007,3,89,0,0,0.06,0
12775,323,5,2002,6,125,0.04,0.01,0,0
12859,418,16,2015,3,69,0,0,0.05,0
12868,205,12,2010,1,63,0,0,0.05,0
12874,67,23,2004,6,55,0.04,0.01,0,0
12884,349,12,2004,9,130,0.03,0.02,0,0.01
12888,408,12,2001,8,114,0.03,0.02,0,0.01
12907,59,12,2002,5,85,0,0,0.05,0
12920,356,16,2014,11,130,0,0,0.05,0
12925,549,23,2003,10,7,0.04,0.01,0,0
12960,523,24,2015,0,135,0.05,0,0,0.01
12961,504,12,2004,7,13,0.03,0.02,0,0.01
12975,585,3,2008,5,66,0.05,0,0,0
13011,479,3,2010,2,61,0,0,0.05,0
13020,271,18,1991,7,71,0,0,0.05,0
13085,343,8,1999,10,72,0.05,0,0,0
13113,310,3,2011,7,137,0,0,0.05,0
13159,352,22,2012,10,84,0.02,0.02,0,0
13170,75,1,2013,7,115,0,0,0.05,0
13195,228,3,2008,3,72,0,0,0.05,0
13251,482,23,2005,3,43,0.04,0.01,0,0
13256,197,12,2007,7,17,0,0,0.05,0
13293,257,12,2007,7,130,0,0,0.05,0
13307,389,5,2002,2,5,0.03,0.01,0,0
13336,60,15,2006,10,8,0.04,0,0,0
13346,564,20,2008,3,79,0.04,0,0,0
13350,579,15,2006,7,72,0.04,0,0,0
13452,460,21,2013,8,7,0,0.04,0,0
13455,396,11,1999,5,87,0.03,0.02,0,0
13482,565,3,2010,3,1,0.04,0,0,0
13513,87,12,2007,3,99,0,0,0.04,0
13518,158,3,2006,10,42,0.04,0,0,0
13550,69,3,2010,5,48,0.04,0,0,0
13564,273,10,2016,1,115,0.01,0.03,0,0
13574,73,5,2002,3,135,0.03,0.01,0,0
13611,25,22,2010,8,79,0.04,0,0,0
13637,348,20,2010,3,24,0.04,0,0,0
13692,1,12,2008,1,34,0,0,0.04,0
13693,34,3,2010,7,89,0,0,0.04,0
13798,163,5,2004,5,92,0,0,0.04,0
13818,217,12,2004,0,111,0.02,0.01,0,0
13819,359,3,2008,1,4,0,0,0.04,0
13997,324,12,2009,3,78,0.02,0.01,0,0
14019,206,12,2009,1,63,0,0,0.04,0
14066,431,15,2010,1,142,0,0,0.04,0
14074,486,3,2005,7,72,0.03,0,0,0
14088,363,23,2006,8,40,0.03,0.01,0,0
14110,126,1,2015,3,112,0,0,0.03,0
14123,47,15,2006,0,89,0.03,0,0,0
14128,150,15,2012,0,89,0,0,0.03,0
14138,440,5,2005,0,33,0.02,0.01,0,0
14163,533,12,2006,1,106,0,0,0.03,0
14177,106,16,2015,0,63,0,0,0.03,0
14204,95,16,2016,10,130,0,0,0.03,0
14279,0,13,2012,0,89,0,0,0.03,0
14283,293,3,2007,9,123,0,0,0.03,0
14295,322,11,2000,0,130,0.02,0.01,0,0
14306,463,15,2006,3,88,0.03,0,0,0
